"","lat","lon","cellNumber","Data","Cobertura","Obs","Municipio","Bioma","Estado","Fonte","LCI","PVI","Ano","Forrageira","Manejo","Cultivo","Solo","Foto","Condicao"
"104",-47.780980620505,-23.0857832523756,292800054,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.69144485586,0.61269212401,2017,NA,NA,NA,NA,NA,"Boas condições"
"105",-47.7943248788312,-23.0774344935318,292713680,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.57826065374,0.25635716959,2017,NA,NA,NA,NA,NA,"Com invasoras"
"106",-47.7988917996636,-23.0770777059128,292713677,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.76069870874,0.6953183382,2017,NA,NA,NA,NA,NA,"Boas condições"
"107",-47.8043865362942,-23.076578215153,292713675,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.87028650905,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"108",-47.8087394831803,-23.0745802521138,292692081,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.75373425073,0.65779110123,2017,NA,NA,NA,NA,NA,"Boas condições"
"109",-47.8145909621276,-23.0709410541204,292648894,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.66801367177,0,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"110",-47.8124501510089,-23.0700847757416,292648895,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.83406810374,0.71746261387,2017,NA,NA,NA,NA,NA,"Boas condições"
"113",-47.8242244335523,-23.05624161854,292497745,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.76321794929,0,2017,NA,NA,NA,NA,NA,"Com invasoras"
"114",-47.8220836224337,-23.049462713313,292432970,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.8725066884,0.59307927832,2017,NA,NA,NA,NA,NA,"Com invasoras"
"115",-47.8250093619073,-23.0386878820076,292325009,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.99843553022,0,2017,NA,NA,NA,NA,NA,"Com invasoras"
"118",-47.8419216387646,-23.0402577356244,292325001,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.87091408333,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"121",-47.852411482266,-23.0431833583798,292368180,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.61033226214,0.66641468104,2017,NA,NA,NA,NA,NA,"Com invasoras"
"126",-47.8795280658838,-23.0353341200628,292281799,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.54677748825,0,2017,NA,NA,NA,NA,NA,"Com invasoras"
"130",-47.902220258894,-23.0381883912478,292303380,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.69303337701,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"132",-47.9118538493915,-23.040543141906,292346559,"2017/05/03","Pastagem",NA,"LARANJAL PAULISTA","Mata Atlântica","SP","LAPIG e Embrapa",0.53079201266,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"133",-47.9188471180833,-23.0451099996156,292389740,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.54584742238,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"134",-47.9266251960573,-23.044467775948,292368144,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.82582529685,0.51874572526,2017,NA,NA,NA,NA,NA,"Boas condições"
"136",-47.9316917466496,-23.0436114678022,292368142,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.60421829195,0.52347548479,2017,NA,NA,NA,NA,NA,"Boas condições"
"137",-47.9376145502457,-23.0410426326658,292346547,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.3800404165,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"138",-47.9421102655022,-23.0434687646614,292368137,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.51051069593,0.68758337236,2017,NA,NA,NA,NA,NA,"Boas condições"
"139",-47.941896172483,-23.0452527027564,292389729,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.80302671295,0.68758337236,2017,NA,NA,NA,NA,NA,"Com invasoras"
"140",-47.9450865516848,-23.0412492469605,292346543,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.77709390324,0,2017,"B. decumbens",NA,NA,NA,"Campo_maio2017\Foto_107.jpg","Com invasoras; Altura Média; Homogeneidade Baixa; Invasoras Média; Presença de animal"
"141",-47.9468824679614,-23.0437637559266,292368135,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.52003181381,0,2017,NA,NA,NA,NA,NA,"Boas condições"
